camera,lat,log
Holland_Tunnel,40.725925,-74.009506
Houston_St_@_Bowery_St,40.724348,-73.992623
Houston_St_@_Broadway,40.725458,-73.996756
Houston_St_@_Christies_St,40.724006,-73.990992
Houston_St_@_Lafeyette_St,40.725063,-73.995413
Hutchinson_River_Pkwy_@_East_Tremont,40.840681,-73.838395
Hutchinson_Rvr_Pkwy_@_Whitestone_Br,40.814048,-73.836467
Hylan_Blvd_@_New_Dorp_Lane,40.570469,-74.109749
Hylan_Blvd_@_Seaview_Ave,40.585929,-74.092579
Korean_War_Veterans_Pkwy_@_Tyrellan_Ave,40.525674,-74.230371
Korean_War_Vetrans_Pkwy_@_Bloomingdale_Rd,40.528267,-74.216659
Lenox_Ave_@_125_St,40.80798,-73.945472
Lenox_Ave_@_135_St,40.81332203,-73.94060612
Lexington_Ave_@_23_St,40.73883569,-73.98459435
Lexington_Ave_@_34_St,40.74569634,-73.97961617
Lexington_Ave_@_42_St,40.75063818,-73.97592545
Lexington_Ave_@_49_St,40.75505951,-73.97274971
Lexington_Ave_@_57_ST,40.76006566,-73.96875858
Lexington_Ave_@_72_St,40.76971931,-73.96202087
LIE_@_Kissena_Blvd,40.738943,-73.815047
LIE_@_Marathon_Pkwy,40.760716,-73.73183
LIE_@_QMT-__Pulaski_Br,40.74091672,-73.95339489
LIE_EB_@_Pulaski_Bridge,40.73926,-73.952459
Long_Island_Expy_@_163rd_St,40.738661,-73.805945
Long_Island_Expy_@_172nd_St,40.738072,-73.797433
Long_Island_Expy_@_185th_St,40.739972,-73.790251
Long_Island_Expy_@_27th_St,40.739737,-73.941864
Long_Island_Expy_@_48_St_UL,40.732226,-73.919593
Long_Island_Expy_@_48th_St_LL,40.732396,-73.919523
Long_Island_Expy_@_48th_St_LL,40.732396,-73.919523
Long_Island_Expy_@_58th_St_LL,40.729904,-73.911293
Long_Island_Expy_@_75_St,40.728409,-73.886147
Long_Island_Expy_@_84_St,40.729801,-73.877454
Long_Island_Expy_@_99_St,40.735932,-73.858634
Long_Island_Expy_@_Francis_Lewis_Blvd,40.743389,-73.774497
Long_Island_Expy_@_Grand_Avenue,40.725338,-73.896916
Long_Island_Expy_@_Grand_Central_Pkwy,40.740093,-73.844963
Long_Island_Expy_@_Greenpoint_Ave,40.736478,-73.928855
Long_Island_Expy_@_Kissena_Blvd,40.738723,-73.814768
Long_Island_Expy_@_Lawrence_St,40.743441,-73.83333
Long_Island_Expy_@_ramp_to_W/B_BQE,40.733938,-73.921289
Long_Island_Expy_@_Underhill_Ave,40.742773,-73.780607
Long_Island_Expy_btwn_50_St_-_58th_St,40.730618,-73.914372
Long_Island_Expy_ramp_to_W/B_BQE,40.735242,-73.923918
Macombs_Dam_Bridge,40.828115,-73.931447
MADISON_@_34_ST,40.74686681,-73.98283482
MADISON_@_57_ST,40.76146341,-73.9721489
Madison_Ave_@_42_St,40.75197111,-73.97901535
Madison_Ave_@_49_St,40.75635984,-73.97583961
Madison_Ave_@_96_St,40.78645548,-73.9539957
Major_Deegan_@_Triboro_Bridge,40.809443,-73.929361
Major_Deegan_Expy_@_N_of_Alex_Hamilton_Bridge,40.849942,-73.923109
Major_Deegan_Expy_@_S_of_W_167_Street,40.83680105,-73.93009186
Manhattan_BBT_Entrance,40.70644125,-74.01609421
Marine_Parkway_@_North_Bound,40.58091,-73.8910388
Marine_Parkway_@_South_Bound,40.567187,-73.880567
MDE10_NB_at_W.175th_St_-_Ex7_CBX,40.849349,-73.923697
MHB-20_Mahn_S_URW_@_Anch,40.7099872,-73.99300575
MHB-21_Manh_N_URDWY_@_Arch,40.708881,-73.991336
MHB-22_Manh_N_URDWY_@_Twr,40.708834,-73.991433
MHB-23_Manh_LRDWY_@_Twr,40.708814,-73.991511
MHB-24_Manh_S_URDWY_@_Twr,40.708773,-73.991612
MHB-25_Manh_S_URW_@_Twr_Walkwy,40.708714,-73.991704
MHB-27_Bklyn_N_URDWY_@_Twr,40.705112,-73.989272
MHB-28_Bklyn_LRDW_@_Twr,40.705069,-73.989401
MHB-29_Brklyn_S_URDWY_@_Twr,40.705039,-73.989502
MHB-30_@_BRK_S_URW_@_TWR_Walk_Way,40.705035,-73.98958
MHB-31_Bklyn_N_URW_@_Anch,40.70305779,-73.98849964
MHB-33_Bklyn_LRW_@_Ex_Ramp,40.6981775,-73.98652554
MLK_Jr._Expwy_@_Forest_Ave.,40.624898,-74.146235
MLK_Jr._Expwy_@_Walker_Street,40.630956,-74.145741
MLK_Jr._Expwy_@_Watchogue_Rd,40.617552,-74.15205
Montgomergy_@_South_St,40.710689,-73.984656
NE_Thruway_@_Conner_St,40.8839,-73.8259
New_Eng_Thru_@_Bartow,40.868476,-73.832667
New_England_Trwy_@_East_Tremont,40.82166891,-73.81915569
Northern_Blvd_@_106_St,40.757741,-73.862801
Northern_Blvd_@_68_St,40.75366162,-73.898592
Northern_Blvd_@_97_St,40.75639235,-73.87185574
Northern_Blvd_@_GCP,40.75769266,-73.85438919
Northern_Blvd_@_Honeywell_Bridge,40.752004,-73.931943
Northern_Blvd_@_Little_Neck_Pkwy,40.770649,-73.735503
Ocean_Pkwy_@_Ave_I,40.636159,-73.972751
Ocean_Pkwy_@_Ave_U,40.597857,-73.965454
Ocean_Pkwy_@_Ave_U,40.59785,-73.9655
Ocean_Pkwy_@_Church_Ave,40.644933,-73.974359
Ocean_Pkwy_@_Ditmas_Ave,40.636159,-73.972751
Oceania_@_LIE,40.7451111,-73.76748562
Outerbridge_Crossing_@_Tyrellan_Ave,40.525714,-74.230356
Park_Ave_@_23_St,40.73938847,-73.98631096
Park_Ave_@_34_St,40.74618404,-73.98124695
Park_Ave_@_57_St,40.7608458,-73.97051811
Pearl_St_@_Dover,40.70868596,-74.00193214
Pearl_Street_@_St._James_Pl,40.71047516,-74.00021553
Prospect_Expy_@_6_Ave,40.662427,-73.988693
Prospect_Expy_@_7_Ave,40.660376,-73.987234
Prospect_Expy_@_9_Ave,40.657429,-73.983135
Prospect_Expy_@_Caton_Ave,40.647792,-73.974938
Prospect_Expy_@_Fort_Hamilton_Pkwy,40.649811,-73.97541
Prospect_Pkwy_@_3_Ave,40.666593,-73.994958
QBB_@_Crescent_St,40.75028056,-73.94013405
QBB_LL_CM_@_11_St,40.75268633,-73.9464426
QBB_LL_CM_@_W_Channel,40.75736758,-73.95699978
QBB_NOR_@_York_Ave,40.75873289,-73.96008968
QBB_SOR_@_1_Ave,40.75938302,-73.96150589
QBB_UL_@_Queens_Pier,40.75473442,-73.95129204
QBB_UL_CM_@_Roosevelt,40.7561973,-73.95468235
QBB_UL_CM_@_York_Ave,40.75857035,-73.96039009
QBB_Uramp_@_23_St,40.75089826,-73.94210815
Qns_Blvd_@_65_Ave,40.72797425,-73.85765076
Qns_Blvd_@_65_PL,40.741495,-73.898293
Qns_Blvd_@_QnCnt_Mall,40.73356779,-73.86932373
Queens_Blvd_@_36_Street,40.744033,-73.926203
Queens_Blvd_@_51_St,40.742627,-73.914056
Queens_Blvd_@_Jackson_Ave,40.7489478,-73.9373769
Queens_Blvd_@_Skillman,40.7460324,-73.9344491
Queens_Blvd_@_Van_Dam,40.743034,-73.934624
Queens_Blvd_Mid_Span_of_QBB,40.747615,-73.936121
Queens_Midtown_Tunnel_@_Manhattan_Side,40.74524116,-73.97064686
Queens_Midtown_Tunnel_@_Queens_Side,40.74176212,-73.95841599
Queens_Plaza_N_@_Northern_Blvd,40.750323,-73.938321
Queens_Plaza_North_@_2811_(Westside),40.74937024,-73.93863201
Queens_Plz_S_@_27_St,40.7501753,-73.9398494
Rockaway_Blvd_@_Division_St,40.63702097,-73.74043372
RT._9A_@_N._Moore_St,40.71964812,-74.01206017
Sands_St_@_BQE_Ent,40.69918612,-73.98476601
Sands_St_@_Brooklyn_Bridge_Ent,40.69957655,-73.98854256
SIE_@_Clove_Rd,40.609361,-74.091434
SIE_@_Richmond_Ave,40.614885,-74.157435
South_St_@_Broad_St,40.701797,-74.011144
South_Street_@_Pike_Street,40.70927152,-73.99154663
Springfield_Ave_@_Jamaica_Ave,40.718516,-73.735207
Springfield_Blvd_@_Merrick_Blvd,40.680209,-73.753356
St_Nicholas_Ave_@_125_St,40.810107,-73.952585
St_Nicholas_Ave_@_145_St,40.824429,-73.944747
St_Nicholas_Ave_@_181_St,40.849657,-73.933675
Staten_Island_Expwy_@_Bradley_Ave,40.60817,-74.132073
Staten_Island_Expwy_@_Forest_Ave,40.625093,-74.177713
Staten_Island_Expwy_@_Gower_Street,40.609049,-74.124177
Staten_Island_Expwy_@_Richmond_Ave,40.615044,-74.15735
Staten_Island_Expwy_@_SIE/MLK_Interchange,40.612242,-74.153767
Staten_Island_Expwy_@_Victory_Blvd.,40.609522,-74.150183
Staten_Island_Expwy_@_W_of_South_Ave,40.621249,-74.168873
Sutton_Pl_@_58_St,40.75727006,-73.95996094
Throgs_Neck_Bridge_@_Bronx_Bound,40.821165,-73.814488
Throgs_Neck_Bridge_@_Queens_Bound,40.789083,-73.79157
Triborough_Bridge_Bronx_Bound,40.799604,-73.918512
Triborough_Bridge_Queens_Bound,40.77742172,-73.92571449
Triborough_Bridges_@_Manhattan_Bound,40.80055609,-73.92919064
Union_Sq_@_14_St,40.735226,-73.990946
Union_tpke_@_Little_Neck_Pkwy,40.743982,-73.717583
Van_Wyck_@_Atlantic,40.696874,-73.813465
Van_Wyck_Expwy_@_101__Ave_SB,40.693773,-73.81193
Van_Wyck_Expwy_@_101_Ave_NB,40.693968,-73.811431
Van_Wyck_Expwy_@_109_Ave,40.687341,-73.807777
Van_Wyck_Expwy_@_111_Ave,40.684474,-73.806756
Van_Wyck_Expwy_@_133_Ave_SB,40.669369,-73.80159
Van_Wyck_Expwy_@_67_Rd,40.733169,-73.835841
Van_Wyck_Expwy_@_87_Ave,40.706768,-73.819027
Van_Wyck_Expwy_@_91_Ave,40.699832,-73.814823
Van_Wyck_Expwy_@_Alwick_Rd_SB,40.673467,-73.801589
Van_Wyck_Expwy_@_Atlantic_Ave,40.697027,-73.813767
Van_Wyck_Expwy_@_College_Point_Blvd.,40.748502,-73.834591
Van_Wyck_Expwy_@_Foch_Blvd._SB,40.677796,-73.80354
Van_Wyck_Expwy_@_GCP/Interchange,40.716877,-73.826497
Van_Wyck_Expwy_@_Hillside_Ave,40.703875,-73.8167
Van_Wyck_Expwy_@_Jackie_Robinson_Pkwy,40.713339,-73.824376
Van_Wyck_Expwy_@_LIE,40.73935596,-73.84507656
Van_Wyck_Expwy_@_Queens_Blvd.(entrance_ramp),40.711483,-73.821954
Van_Wyck_Expwy_@_Rockaway_Blvd.,40.674623,-73.801507
Van_Wyck_Expwy_Btwn_115_Ave._&_116_Ave,40.680149,-73.804696
Van_Wyck_Expy_@_S_Conduit_Ave_LL,40.666235,-73.801711
Varick_St_@_Hudson_Street,40.72094915,-74.00751114
Verrazano-Narrows_@_Brooklyn_Bound,40.601213,-74.055619
Verrazano-Narrows_@_Staten_Island_Bound,40.603283,-74.054887
Victory_Blvd_@_Bay_St,40.637748,-74.076018
Victory_Blvd_@_Jersey_St,40.635735,-74.083777
Victory_Blvd_WOF_Campus_Dr,40.608768,-74.153616
VWE01_SB_at_134th_St_-_Ex19,40.706327,73.818254
VWE08_NB_at_Foch_Blvd_-_Ex2,40.6776,-73.802945
Water_St_@_John_St,40.70605086,-74.00485039
Water_St_@_Wall_St,40.70442421,-74.00721073
WBB-1_@_Bklyn_Plaza,40.70962936,-73.95974636
WBB-14_@_NIR_Bklyn_Kent_Ave,40.71174383,-73.96734238
WBB-16_@_SOR_Bklyn_Kent_Ave,40.716139,-73.996063
WBB-18_@_SOR_Cntr_Span,40.71268719,-73.97206306
WBB-19_@_Bklyn_Tower,40.71112576,-73.96644115
WBB-2_@_NOR_Bklyn-Driggs,40.71070287,-73.96317959
WBB-20_@_MidSpan,40.71005226,-73.96309376
WBB-21_@_SOR_Manh_Appr,40.71691588,-73.98571014
WBB-22_@_S_Manh_Twr,40.71379318,-73.97656918
WBB-23_@_N_Manh_Twr,40.714282,-73.976186
WBB-4_@_NOR_Bklyn-Mid_Span,40.71294743,-73.97171974
WBB-6_@_Delancy-Clinton,40.71724115,-73.98553848
West_Broadway_@_West_Houston_St,40.726958,-73.999928
West_Houston_@_Hudson_St,40.728739,-74.007137
West_Houston_@_Varick_St,40.7286,-74.005356
West_Shore_Expwy_@_Englewood_Ave,40.532279,-74.223976
West_Shore_Expwy_@_Fresh_Kills_Creek,40.577635,-74.19121
West_Shore_Expwy_@_Meredith_Blvd.,40.597303,-74.191232
West_Shore_Expwy_@_Victory_Blvd,40.566177,-74.193635
West_Shore_Expwy_@_Woodrow_Rd,40.541363,-74.224019
West_Shore_Expy_@_Arden_Ave,40.55975395,-74.19938564
West_Shore_Expy_@_Victory_Blvd,40.590118,-74.193442
West_St_@_Albany_St,40.70930405,-74.01493549
West_St_@_Canal_St,40.72507974,-74.0104723
West_St_@_Clarkson,40.729832,-74.010658
West_St_@_Murray,40.71444376,-74.0132618
West_St_@_West_Houston_St,40.729104,-74.010528
West_Street_@_Intrepid,40.76009816,-74.00218964
Whitestone_@_14_Ave,40.78613055,-73.82404804
Whitestone_@_Bronx_Bound,40.806837,-73.832813
Whitestone_@_Queens_Bound,40.79584539,-73.82580757
Whitestone_Expwy_@_14_Ave_(Median),40.786576,-73.824043
Whitestone_Expwy_@_25_Rd_(Median),40.776191,-73.828214
Whitestone_Nof_Linden_Pl,40.77062934,-73.83301735
Woodhaven_Blvd_@_Furmanville_Ave,40.720287,-73.865571
Woodhaven_Blvd_@_Jamaica_Ave,40.694,-73.852
Woodhaven_Blvd_@_Jamaica_Ave,40.693704,-73.852136
Woodhaven_Blvd_@_Myrtle_Ave,40.702613,-73.855269
Woodhaven_Blvd_@_Union_Tpke,40.70561,-73.8582
Worth_Street_@_Bowery,40.71275225,-73.99828434
Worth_Street_@_Lafayette_Street,40.71480157,-74.00279045
Worth_Street_@_W._Broadway,40.71691588,-74.00755405
WSE_@_Arden_Ave,40.560632,-74.199602
WSE03_SB_at_Bloomingdale_Rd-Ex3,40.54857,-74.220693
WSE04_SB_at_Rossville_Ave_-_Ex4,40.554765,-74.213161
WSE06_NB_at_Muldoon_Ave_-_Ex5,40.566177,-74.193635
